,0
123,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Annual"
124,"Retail Price of Electricity in Commercial Sector, Pacific Contiguous, Annual"
125,"Retail Price of Electricity in Commercial Sector, South Atlantic, Annual"
126,"Retail Price of Electricity in Commercial Sector, U.S. Average, Annual"
127,"Retail Price of Electricity in Commercial Sector, West North Central, Annual"
128,"Retail Price of Electricity in Commercial Sector, West South Central, Annual"
129,"Retail Price of Electricity in Industrial Sector, U.S. Average, Annual"
130,"Retail Price of Electricity in Industrial Sector, East North Central, Annual"
131,"Number of Residential Customers, Hawaii and Alaska, Annual"
132,"Number of Residential Customers, Middle Atlantic, Annual"
133,"Number of Residential Customers, Mountain, Annual"
134,"Number of Residential Customers, New England, Annual"
135,"Number of Residential Customers, Pacific Contiguous, Annual"
136,"Number of Residential Customers, South Atlantic, Annual"
137,"Number of Residential Customers, United States, Annual"
138,"Number of Residential Customers, West North Central, Annual"
139,"Number of Residential Customers, West South Central, Annual"
140,"Direct Use of Electricity by Commercial and Industrial Facilities, Annual"
141,"Retail Price of Electricity in Residential Sector, Alaska and Hawaii, Annual"
142,"Retail Price of Electricity in Residential Sector, Middle Atlantic, Annual"
143,"Retail Price of Electricity in Residential Sector, Mountain, Annual"
144,"Retail Price of Electricity in Residential Sector, New England, Annual"
145,"Retail Price of Electricity in Residential Sector, Pacific Contiguous, Annual"
146,"Retail Price of Electricity in Residential Sector, South Atlantic, Annual"
147,"Retail Price of Electricity in Residential Sector, U.S. Average, Annual"
148,"Retail Price of Electricity in Residential Sector, West North Central, Annual"
149,"Electric power sector net generation from coal, United States, Annual"
150,"Electric Power Sector Generation from Coal, Annual"
151,"Cost of Coal Delivered to Electric Generating Plants, Annual"
152,"Metallurgical Coal Gross Exports, Annual"
153,"Steam Coal Gross Exports, Annual"
154,"Coal Gross Exports, Annual"
155,"Retail Price of Electricity in Commercial Sector, U.S. Average, Annual"
156,"Retail Price of Electricity in Commercial Sector, East North Central, Annual"
157,"Retail Price of Electricity in Commercial Sector, East South Central, Annual"
158,"Retail Price of Electricity in Commercial Sector, Alaska and Hawaii, Annual"
159,"Retail Price of Electricity in Commercial Sector, Middle Atlantic, Annual"
160,"Retail Price of Electricity in Commercial Sector, Mountain, Annual"
161,"Retail Price of Electricity in Commercial Sector, New England, Annual"
162,"Residential and Commercial Coal Consumption, Annual"
163,"Coal Gross Imports, Annual"
164,"Industrial sector consumption of coal, United States, Annual"
165,"Industrial sector net generation from coal, United States, Annual"
166,"Retail Price of Electricity in Residential Sector, West South Central, Annual"
167,"Retail Price of Electricity for All Sectors, East North Central, Annual"
168,"Retail Price of Electricity for All Sectors, East South Central, Annual"
169,"Retail Price of Electricity for All Sectors, Alaska and Hawaii, Annual"
170,"Retail Price of Electricity for All Sectors, Middle Atlantic, Annual"
171,"Retail Price of Electricity for All Sectors, Mountain, Annual"
172,"Coal Production Interior Region, Annual"
173,"Coal Production Total U.S., Annual"
174,"Coal Production Western Region, Annual"
175,"Coal Secondary Inventories Electric Power Sector, Annual"
176,"Retail Sales of Electricity in Residential Sector, Middle Atlantic, Annual"
177,"Retail Sales of Electricity in Residential Sector, Mountain, Annual"
178,"Retail Sales of Electricity in Residential Sector, New England, Annual"
179,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous, Annual"
180,"Retail Sales of Electricity in Residential Sector, South Atlantic, Annual"
181,"Retail Sales of Electricity in Residential Sector, U.S. Total, Annual"
182,"Retail Sales of Electricity in Residential Sector, West North Central, Annual"
183,"Retail Sales of Electricity in Residential Sector, West South Central, Annual"
184,"Retail Sales of Electricity in Residential Sector, U.S. Total, Annual"
185,"Coke Plants Coal Consumption, Annual"
186,"Coal Miner Productivity, Annual"
187,"Total Primary Coal Supply, Annual"
188,"Coal Consumed in non-Power Sectors, Annual"
189,"Coal Production Appalachia Region, Annual"
190,"Net energy for electricity load, New York (NYISO), Annual"
191,"Net energy for electricity load, Mid-Atlantic (PJM), Annual"
192,"Net energy for electricity load, Southeast (SERC), Annual"
193,"Net energy for electricity load, Central (SPP ISO), Annual"
194,"Net energy for electricity load, Southwest, Annual"
195,"Net energy for electricity load, Texas (ERCOT), Annual"
196,"Net energy for electricity load, United States, Annual"
197,"Net Imports of Electricity to the United States, Annual"
198,"Net International Imports of Electricity into United States, Annual"
199,"Retail Sales of Electricity in Residential Sector, East North Central, Annual"
200,"Retail Sales of Electricity in Residential Sector, East South Central, Annual"
201,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii, Annual"
202,"Retail Price of Electricity in Industrial Sector, East South Central, Annual"
203,"Retail Price of Electricity in Industrial Sector, Alaska and Hawaii, Annual"
204,"Retail Price of Electricity in Industrial Sector, Middle Atlantic, Annual"
205,"Retail Price of Electricity in Industrial Sector, Mountain, Annual"
206,"Retail Price of Electricity in Industrial Sector, New England, Annual"
207,"Retail Price of Electricity in Industrial Sector, Pacific Contiguous, Annual"
208,"Retail Price of Electricity in Industrial Sector, South Atlantic, Annual"
209,"Retail Price of Electricity in Industrial Sector, U.S. Average, Annual"
210,"Retail Sales of Electricity in Industrial Sector, South Atlantic, Annual"
211,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Annual"
212,"Retail Sales of Electricity in Industrial Sector, West North Central, Annual"
213,"Retail Sales of Electricity in Industrial Sector, West South Central, Annual"
214,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Annual"
215,"Gross Imports of Electricity into the United States, Annual"
216,"Net energy for electricity load, California, Annual"
217,"Net energy for electricity load, Florida (FRCC), Annual"
218,"Net energy for electricity load, Hawaii and Alaska, Annual"
219,"Net energy for electricity load, Midwest (Midcontinent ISO), Annual"
220,"Net energy for electricity load, New England (ISO-NE), Annual"
221,"Net energy for electricity load, Northwest, Annual"
222,"Coal Total Inventories, Annual"
223,"Coal Primary Inventories, Annual"
224,"Coal Primary Inventory Withdrawals, Annual"
225,"Coal Secondary Inventories Commercial and Institutional, Annual"
226,"Coal Secondary Inventories Coke Plants, Annual"
227,"Coal Secondary Inventories Retail and General Industry, Annual"
228,"Coal Secondary Inventories, Annual"
229,"Coal Secondary Inventory Withdrawals, Annual"
230,"Waste Coal Production, Annual"
231,"Total Retail Sales of Electricity in All Sectors, U.S. Total, Annual"
232,"Total Retail Sales of Electricity in All Sectors, West North Central, Annual"
233,"Total Retail Sales of Electricity in All Sectors, West South Central, Annual"
234,"Total Retail Sales of Electricity in All Sectors, U.S. Total, Annual"
235,"Wholesale Electricity Price, CAISO (California ISO) SP15 zone, Annual"
236,"Wholesale Electricity Price, Florida index, Florida Reliability (FRCC) hub, Annual"
237,"Wholesale Electricity Price, MISO (Midcontinent ISO) Illinois hub, Annual"
238,"Wholesale Electricity Price, ISO-NE (New England ISO) Internal hub, Annual"
239,"Wholesale Electricity Price, Northwest index, Mid-Columbia hub, Annual"
240,"Wholesale Electricity Price, NYISO (New York ISO) Hudson Valley zone, Annual"
241,"Wholesale Electricity Price, PJM RTO Western hub, Annual"
242,"Wholesale Electricity Price, Southeast index, Southeast Reliability (SERC) Into Southern hub, Annual"
243,"Wholesale Electricity Price, SPP (Southwest Power Pool ISO) South hub, Annual"
244,"Wholesale Electricity Price, Southwest index, Palo Verde hub, Annual"
245,"Wholesale Electricity Price, ERCOT (Texas) ISO North hub, Annual"
246,"Aviation Gasoline Blend Components Refinery Input, Annual"
247,"Airline Ticket Price Index, Annual"
248,"Asphalt and Road Oil Product Supplied, Annual"
249,"Natural Gas Balancing Item (Consumption - Supply), Annual"
250,"Total Supply of Electricity in United States, Annual"
251,"Total Retail Sales of Electricity in All Sectors, East North Central, Annual"
252,"Total Retail Sales of Electricity in All Sectors, East South Central, Annual"
253,"Total Retail Sales of Electricity in All Sectors, Alaska and Hawaii, Annual"
254,"Total Retail Sales of Electricity in All Sectors, Middle Atlantic, Annual"
255,"Total Retail Sales of Electricity in All Sectors, Mountain, Annual"
256,"Total Retail Sales of Electricity in All Sectors, New England, Annual"
257,"Total Retail Sales of Electricity in All Sectors, Pacific Contiguous, Annual"
258,"Total Retail Sales of Electricity in All Sectors, South Atlantic, Annual"
259,"Retail Price of Electricity in Industrial Sector, West North Central, Annual"
260,"Retail Price of Electricity in Industrial Sector, West South Central, Annual"
261,"Retail price of electricity in residential sector, U.S. average, Annual"
262,"Real Retail Price of Electricity in Residential Sector, U.S. Average, Annual"
263,"Retail Price of Electricity in Residential Sector, East North Central, Annual"
264,"Retail Price of Electricity in Residential Sector, East South Central, Annual"
265,"Total Coal Consumption , Annual"
266,"Net generation from coal, all sectors, United States, Annual"
267,"Generation from Coal by All Sectors, Annual"
268,"Total Coal Supply, Annual"
269,"Retail Price of Electricity for All Sectors, New England, Annual"
270,"Retail Price of Electricity for All Sectors, Pacific Contiguous, Annual"
271,"Retail Price of Electricity for All Sectors, South Atlantic, Annual"
272,"Retail Price of Electricity for All Sectors, U.S. Total, Annual"
273,"Retail Price of Electricity for All Sectors, West North Central, Annual"
274,"Retail Price of Electricity for All Sectors, West South Central, Annual"
275,"Total Consumption of Electricity in United States, Annual"
276,"Ethane Production at Natural Gas Processing Plants, Annual"
277,"Biodiesel Net Imports, Annual"
278,"Other Industrial Coal Consumption, Annual"
279,"Retail and Other Industry Coal Consumption, Annual"
280,"Commercial Sector Total Generation, Annual"
281,"Refinery Distillation Inputs  , Annual"
282,"Real Personal Income New England, Annual"
283,"Biodiesel Production, Annual"
284,"Biodiesel Inventory, Annual"
285,"Consumption of Energy from Biomass-based Diesel by All Sectors, Annual"
286,"Biodiesel Consumption, Annual"
287,"Subtotal Renewable Energy Consumption: Transportation Sector, Annual"
288,"Biofuel Losses and Co-products, Annual"
289,"Biofuel Total Consumption, Annual"
290,"Comm. and Indus. Sectors Total Biomass Net Summer Capacity, Annual"
291,"Industrial and commercial sector net generation from biomass (all types), United States, Annual"
292,"Commercial sector net generation from biomass, United States, Annual"
293,"Electric Power Sector Total Biomass Net Summer Capacity, Annual"
294,"Venezuela Crude Oil Production Capacity, Annual"
295,"U.S. Crude Oil Production, Annual"
296,"Crude Oil Production, Algeria, Annual"
297,"Crude Oil Production, Angola, Annual"
298,"Crude Oil Production, Congo (Brazzaville), Annual"
299,"Crude Oil Production, Equatorial Guinea, Annual"
300,"Crude Oil Production, Gabon, Annual"
301,"Crude Oil Production, Iran, Annual"
302,"Crude Oil Production, Iraq, Annual"
303,"Crude Oil Production, Kuwait, Annual"
304,"Crude Oil Production, Libya, Annual"
305,"Heating Oil Refiner Wholesale Price, Annual"
306,"Distillate Fuel Oil Delivers to Power Sector, Annual"
307,"Distillate Fuel Oil Adjustment, Annual"
308,"Distillate Fuel Oil Net Imports, Annual"
309,"Electric power sector net generation from biomass, California, Annual"
310,"Electric power sector net generation from biomass, Florida (FRCC), Annual"
311,"Algeria Crude Oil Production Capacity, Annual"
312,"Angola Crude Oil Production Capacity, Annual"
313,"Congo (Brazzaville) Crude Oil Production Capacity, Annual"
314,"Equatorial Guinea Crude Oil Production Capacity, Annual"
315,"Gabon Crude Oil Production Capacity, Annual"
316,"Iran Crude Oil Production Capacity, Annual"
317,"Iraq Crude Oil Production Capacity, Annual"
318,"Kuwait Crude Oil Production Capacity, Annual"
319,"Libya Crude Oil Production Capacity, Annual"
320,"Nigeria Crude Oil Production Capacity, Annual"
321,"OPEC Total Crude Oil Production Capacity, Annual"
322,"OPEC Middle East Crude Oil Production Capacity, Annual"
323,"OPEC Other Crude Oil Production Capacity, Annual"
324,"Saudi Arabia Crude Oil Production Capacity, Annual"
325,"United Arab Emirates Crude Oil Production Capacity, Annual"
326,"Real Personal Income Pacific, Annual"
327,"Real Personal Income S. Atlantic, Annual"
328,"Real Personal Income W. N. Central, Annual"
329,"Real Personal Income W. S. Central, Annual"
330,"Heating Oil Retail Price Including Taxes, U.S. Average, Annual"
331,"Heating oil retail price incl taxes, U.S. average, Annual"
332,"Heating Oil Retail Price Incl Taxes, U.S. Average, Annual"
333,"Fuel Oil Consumption, Annual"
334,"Electric power sector net generation from biomass, Hawaii and Alaska, Annual"
335,"Electric power sector net generation from biomass, Midwest (Midcontinent ISO), Annual"
336,"Electric power sector net generation from biomass, New England (ISO-NE), Annual"
337,"Electric power sector net generation from biomass, Northwest, Annual"
338,"Electric power sector net generation from biomass, New York (NYISO), Annual"
339,"Electric power sector net generation from biomass, Mid-Atlantic (PJM), Annual"
340,"Electric power sector net generation from biomass, Southeast (SERC), Annual"
341,"Electric power sector net generation from biomass, Central (SPP ISO), Annual"
342,"Electric power sector net generation from biomass, Southwest, Annual"
343,"Electric power sector net generation from biomass, Texas (ERCOT), Annual"
344,"Electric power sector net generation from biomass, United States, Annual"
345,"Industrial sector net generation from biomass, United States, Annual"
346,"Net generation from biomass, all sectors, United States, Annual"
347,"Brent crude oil spot price, Annual"
348,"Biodiesel, Renewable Diesel, and Other, Annual"
349,"Crude Oil Net Imports, Annual"
350,"Real Personal Consumption Expenditures, Annual"
351,"Crude Oil Net Commercial Inventory Withdrawals, Annual"
352,"Crude Oil Adjustment, Annual"
353,"Carbon Dioxide Emissions from Coal, Annual"
354,"Real Personal Income E. N. Central, Annual"
355,"Real Personal Income E. S. Central, Annual"
356,"Real Personal Income Middle Atlantic, Annual"
357,"Real Personal Income Mountain, Annual"
358,"Butanes/Butylenes Inventory, Annual"
359,"Butanes Refinery and Blender Net Inputs, Annual"
360,"Crude Oil Production, Nigeria, Annual"
361,"Crude Oil Production, OPEC Total, Annual"
362,"Crude Oil Production, Saudi Arabia, Annual"
363,"Crude Oil Production, United Arab Emirates, Annual"
364,"Crude Oil Production, Venezuela, Annual"
365,"Algeria Spare Crude Oil Production Capacity, Annual"
366,"Angola Spare Crude Oil Production Capacity, Annual"
367,"Congo (Brazzaville) Spare Crude Oil Production Capacity, Annual"
368,"Equatorial Guinea Spare Crude Oil Production Capacity, Annual"
369,"Gabon Spare Crude Oil Production Capacity, Annual"
370,"Iran Spare Crude Oil Production Capacity, Annual"
371,"Electric power sector net generation from renewable energy (all types), Northwest, Monthly"
372,"Electric power sector net generation from utility-scale solar, Northwest, Monthly"
373,"Iraq Spare Crude Oil Production Capacity, Annual"
374,"Kuwait Spare Crude Oil Production Capacity, Annual"
375,"Libya Spare Crude Oil Production Capacity, Annual"
376,"Nigeria Spare Crude Oil Production Capacity, Annual"
377,"Distillate Fuel Oil PADD 3 (Gulf Coast) Inventory, Annual"
378,"Distillate Fuel Oil PADD 4 (Rocky Mountain) Inventory, Annual"
379,"Distillate Fuel Oil PADD 5 (West Coast) Inventory, Annual"
380,"Distillate Fuel Oil U.S. Total Inventory, Annual"
381,"Distillate Fuel Refinery Output, Annual"
382,"Distillate Fuel Oil Product Supplied, Annual"
383,"Commercial Sector Generation from Distillate Fuel Oil, Annual"
384,"Electric power sector total net generation from all types of energy sources, Southeast (SERC), Monthly"
385,"Electric power sector net generation from renewables excluding hydropower, Midwest (Midcontinent ISO), Monthly"
386,"Distillate Fuel Oil PADD 1 (East Coast) Inventory, Annual"
387,"Distillate Fuel Oil PADD 2 (Midwest) Inventory, Annual"
388,"Propane PADD 1 (East Coast) Inventory, Annual"
389,"Propane PADD 2 (Midwest) Inventory, Annual"
390,"Propane PADD 3 (Gulf Coast) Inventory, Annual"
391,"Propane PADD 4 (Rocky Mountain) Inventory, Annual"
392,"Propane PADD 5 (West Coast) Inventory, Annual"
393,"Propane US Total Inventory, Annual"
394,"Propane Refinery and Blender Net Production, Annual"
395,"Propane Consumption, Annual"
396,"Butanes Production at Natural Gas Processing Plants, Annual"
397,"Butanes/Butylenes Net Imports, Annual"
398,"Electric power sector total net generation from all types of energy sources, Central (SPP ISO), Monthly"
399,"Electric power sector net generation from renewable energy (all types), New York (NYISO), Monthly"
400,"Electric power sector net generation from renewable energy (all types), Mid-Atlantic (PJM), Monthly"
401,"Electric power sector net generation from utility-scale solar, Mid-Atlantic (PJM), Monthly"
402,"Electric power sector net generation from utility-scale solar, New York (NYISO), Monthly"
403,"Electric power sector total net generation from all types of energy sources, Southwest, Monthly"
404,"Electric power sector net generation from renewables excluding hydropower, Northwest, Monthly"
405,"Electric power sector net generation from renewables excluding hydropower, New England (ISO-NE), Monthly"
406,"Electric power sector net generation from renewables excluding hydropower, New York (NYISO), Monthly"
407,"Electric power sector net generation from renewables excluding hydropower, Mid-Atlantic (PJM), Monthly"
408,"Electric power sector net generation from renewable energy (all types), Central (SPP ISO), Monthly"
409,"Electric power sector net generation from renewable energy (all types), Southeast (SERC), Monthly"
410,"Electric power sector net generation from utility-scale solar, Southeast (SERC), Monthly"
411,"Renewable Diesel Inventory, Monthly"
412,"Renewable Diesel Consumption, Monthly"
413,"Transportation Sector Total Consumption of Renewable Energy, Monthly"
414,"Commercial Sector Total Consumption of Renewable Energy, Monthly"
415,"Electric Power Sector Total Consumption of Renewable Energy, Monthly"
416,"Industrial Sector Total Consumption of Renewable Energy, Monthly"
417,"Residential Sector Total Consumption of Renewable Energy, Monthly"
418,"Total Consumption of Renewable Energy by All Sectors, Monthly"
419,"Total Consumption of Renewable Energy for Electricity and Heat Generation, Monthly"
420,"Commercial Sector Generation from Residual Fuel Oil, Monthly"
421,"Industrial Sector Generation from Residual Fuel Oil, Monthly"
422,"Electric power sector total net generation from all types of energy sources, Texas (ERCOT), Monthly"
423,"Total electric power sector net generation by all energy sources, United States, Monthly"
424,"Total industrial sector net generation by all energy sources, United States, Monthly"
425,"Total net generation by all energy sources, all sectors, United States, Monthly"
426,"Real Exports of Goods and Services, Monthly"
427,"Real Imports of Goods and Services, Monthly"
428,"Total Generation by All Sectors, Monthly"
429,"Total Net Generation of Electricity from Large-Scale Power Plants, All Sectors, United States, Monthly"
430,"Unfinished Oils Net Imports, Monthly"
431,"Unfinished Oils Inventory, Monthly"
432,"Unfinished Oils Refinery Input, Monthly"
433,"Unfinished Oils Product Supplied, Monthly"
434,"Electric power sector net generation from utility-scale solar, Central (SPP ISO), Monthly"
435,"Electric power sector net generation from renewable energy (all types), Southwest, Monthly"
436,"Electric power sector net generation from utility-scale solar, Texas (ERCOT), Monthly"
437,"Electric power sector net generation from utility-scale solar, United States, Monthly"
438,"Electric Power Sector Generation from Large-Scale Solar, Monthly"
439,"Industrial Sector Consumption of Solar Energy, Monthly"
440,"Electric power sector net generation from renewables excluding hydropower, Southwest, Monthly"
441,"Electric power sector net generation from utility-scale solar, Southwest, Monthly"
442,"Electric power sector net generation from renewables excluding hydropower, Central (SPP ISO), Monthly"
443,"Electric power sector net generation from renewable energy (all types), Texas (ERCOT), Monthly"
444,"Electric power sector net generation from renewables excluding hydropower, Southeast (SERC), Monthly"
445,"Industrial sector net generation from utility-scale solar, United States, Monthly"
446,"Residential Sector Consumption of Solar Energy, Monthly"
447,"Consumption of Solar Energy by All Sectors, Monthly"
448,"Net generation from utility-scale solar, all sectors, United States, Monthly"
449,"Generation from Large-Scale Solar by All Sectors, Monthly"
450,"Crude Oil and Liquid Fuels Supply, Total North America, Monthly"
451,"Crude Oil and Liquid Fuels Supply, Total Central and South America, Monthly"
452,"Crude Oil and Liquid Fuels Supply, Total Europe, Monthly"
453,"Crude Oil and Liquid Fuels Supply, Total FSU and Eastern Europe, Monthly"
454,"Crude Oil and Liquid Fuels Supply, Total Middle East , Monthly"
455,"Crude Oil and Liquid Fuels Supply, Total Africa , Monthly"
456,"Crude Oil and Liquid Fuels Supply, Total Asia and Oceania  , Monthly"
457,"Net Inventory Withdrawals, Total Non-OECD Crude Oil and Other Liquids, Monthly"
458,"Net Inventory Withdrawals, Total Other OECD Crude Oil and Other Liquids, Monthly"
459,"Net Inventory Withdrawals, Total U.S. (50 States) Crude Oil and Other Liquids, Monthly"
460,"Net Inventory Withdrawals, Total World Crude Oil and Other Liquids, Monthly"
461,"Transmission & Distribution Losses and Unaccounted For, Monthly"
462,"Total Transmission and Distribution Losses in United States, Monthly"
463,"Total Energy CO2 Emissions, Monthly"
464,"U.S. Total Energy Consumption, Monthly"
465,"Total commercial sector net generation by all energy sources, United States, Monthly"
466,"Commercial Sector Generation from Small-Scale Solar Photovoltaic, United States, Monthly"
467,"Electric power sector total net generation from all types of energy sources, California, Monthly"
468,"Electric power sector net generation from renewables excluding hydropower, Texas (ERCOT), Monthly"
469,"Electric power sector net generation from renewables excluding hydropower, United States, Monthly"
470,"Renewable Fuels Except Fuel Ethanol Adjustments, Monthly"
471,"Industrial and commercial sector net generation from utility-scale solar, United States, Monthly"
472,"Commercial sector net generation from utility-scale solar, United States, Monthly"
473,"Commercial Sector Small-Scale Solar Photovoltaic Capacity, Monthly"
474,"Electric power sector net generation from renewable energy (all types), United States, Monthly"
475,"Still Gas Product Supplied, Monthly"
